,S_NO,SESSION,SEX,DOB,STATE,HALL,SPONSOR,MOE,TOT UNITS REG,TOT UNITS PASSED,UNIT NOT IN,FAC REQ,DEPT REQ,TOTAL WGP,CGPA,CLASS OF DEG,CLASS LABEL
191,192,2015/16,M,1995-06-02,OSUN,OFF-CAMPUS,PARENTS,UME,239,160,0,Yes,No,467,0.0,0,FNG
192,193,2015/16,M,1994-10-08,OYO,BELLO,PARENT,TRA,132,111,0,Yes,Yes,287,2.2,3rd,3RD CLASS
193,194,2015/16,M,1995-10-02,OYO,OFF-CAMPUS,PARENT,UME,206,153,0,Yes,No,513,0.0,0,FNG
194,195,2015/16,M,1994-07-27,ABIA,OFF-CAMPUS,PARENT,UME,205,123,0,Yes,No,450,0.0,0,FNG
195,196,2015/16,M,1993-06-16,EDO,OFF-CAMPUS,PARENTS,UME,199,159,0,Yes,Yes,484,2.4,3rd,3RD CLASS
196,197,2015/16,F,1996-12-19,EDO,OFF-CAMPUS,PARENTS,UME,220,141,0,Yes,No,383,0.0,0,FNG
197,198,2015/16,M,1987-05-18,DELTA,OFF-CAMPUS,PARENT,UME,174,171,0,Yes,Yes,718,4.1,22,2ND CLASS LOWER
198,199,2015/16,M,1993-12-28,ONDO,OFF-CAMPUS,PARENTS,UME,221,137,0,Yes,Yes,299,1.4,Pass,PASSED
199,200,2015/16,M,1993-11-10,OYO,OFF-CAMPUS,PARENTS,UME,121,82,0,No,No,224,0.0,0,FNG
200,201,2015/16,M,1995-06-12,OYO,OFF-CAMPUS,PARENTS,UME,201,174,0,Yes,Yes,523,2.6,22,2ND CLASS LOWER
201,202,2015/16,M,1994-10-09,OYO,ZIK,PARENT,TRA,135,135,0,Yes,Yes,698,5.2,21,2ND CLASS UPPER
202,203,2015/16,M,1994-03-22,RIVER,TEDDER,PARENT,TRA,118,94,0,Yes,No,241,0.0,0,FNG
203,204,2015/16,M,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,196,133,0,Yes,No,370,0.0,0,FNG
204,205,2015/16,M,1970-12-05,OGUN,OFF-CAMPUS,PARENTS,UME,129,81,0,No,No,272,0.0,0,FNG
205,206,2015/16,M,1995-06-02,OGUN,ZIK,PARENT,UME,171,147,0,Yes,No,632,0.0,0,FNG
206,207,2015/16,M,1987-01-25,OGUN,SULTAN-BEL,SELF,UME,174,171,0,Yes,Yes,691,4.0,22,2ND CLASS LOWER
207,208,2015/16,M,1993-06-18,OYO,INDEPENDEN,PARENT,UME,148,148,0,Yes,No,738,0.0,0,FNG
208,209,2015/16,M,1992-01-24,LAGOS,SULTAN-BEL,PARENT,UME,174,171,0,Yes,Yes,642,3.7,22,2ND CLASS LOWER
209,210,2015/16,M,1995-08-21,OYO,KUTI,PARENT,UME,174,174,0,Yes,Yes,822,4.7,21,2ND CLASS UPPER
210,211,2015/16,M,1995-12-23,OSUN,MELLANBY,PARENT,UME,138,71,0,No,No,175,0.0,0,FNG
211,212,2015/16,M,1995-10-18,OSUN,SULTAN-BEL,PARENT,UME,174,174,0,Yes,Yes,813,4.7,21,2ND CLASS UPPER
212,213,2015/16,M,1996-04-26,ANAMBRA,SULTAN-BEL,PARENT,UME,164,124,0,Yes,No,397,0.0,0,FNG
213,214,2015/16,M,1994-07-24,EKITI,KUTI,PARENT,UME,169,116,0,No,No,299,0.0,0,FNG
214,215,2015/16,M,1991-09-08,IMO,ZIK,PARENT,UME,174,174,0,Yes,Yes,824,4.7,21,2ND CLASS UPPER
215,216,2015/16,M,1996-01-01,OYO,TEDDER,PARENT,UME,168,165,0,Yes,Yes,644,3.8,22,2ND CLASS LOWER
216,217,2015/16,M,1993-08-22,OYO,OFF-CAMPUS,PARENT,UME,171,171,0,Yes,Yes,988,5.8,21,2ND CLASS UPPER
217,218,2015/16,M,1995-10-31,OSUN,OFF-CAMPUS,PARENT,UME,174,174,0,Yes,Yes,671,3.9,22,2ND CLASS LOWER
218,219,2015/16,M,1986-03-12,DELTA,KUTI,PARENT,UME,174,170,0,Yes,Yes,862,5.0,21,2ND CLASS UPPER
219,220,2015/16,M,1988-12-04,OGUN,MELLANBY,PARENT,DE,135,131,0,Yes,Yes,568,4.2,22,2ND CLASS LOWER
220,221,2015/16,M,1989-12-03,DELTA,OFF-CAMPUS,PARENT,DE,135,127,0,Yes,Yes,426,3.2,22,2ND CLASS LOWER
221,222,2015/16,M,1995-01-18,OGUN,MELLANBY,PARENT,TRA,135,131,0,Yes,Yes,404,3.0,22,2ND CLASS LOWER
222,223,2015/16,M,1995-09-15,OYO,KUTI,PARENT,TRA,139,114,0,Yes,No,366,0.0,0,FNG
223,224,2015/16,M,1986-04-04,OSUN,TEDDER,BROTHER,TRA,144,125,0,Yes,Yes,319,2.2,3rd,3RD CLASS
224,225,2015/16,M,1992-01-31,DELTA,TEDDER,PARENT,TRA,135,127,0,Yes,Yes,430,3.2,22,2ND CLASS LOWER
225,226,2015/16,M,1996-12-19,OSUN,OFF-CAMPUS,PARENT,TRA,136,130,0,Yes,Yes,515,3.8,22,2ND CLASS LOWER
226,227,2015/16,M,1996-12-19,DELTA,OFF-CAMPUS,PARENT,TRA,80,40,0,No,No,80,0.0,0,FNG
227,228,2015/16,M,1996-12-19,BENUE,OFF-CAMPUS,PARENT,TRA,105,82,0,No,No,247,0.0,0,FNG
228,229,2015/16,M,1991-04-24,OSUN,BELLO,PARENT,TRA,132,113,6,Yes,No,277,0.0,0,FNG
229,230,2015/16,M,1992-01-19,OSUN,BELLO,PARENT,TRA,135,131,0,Yes,Yes,417,3.1,22,2ND CLASS LOWER
230,231,2015/16,F,1995-01-24,ONDO,AWO,PARENT,TRA,135,135,0,Yes,Yes,566,4.2,22,2ND CLASS LOWER
231,232,2015/16,F,1992-04-01,DELTA,AWO,SISTER,DE,135,135,0,Yes,Yes,641,4.7,21,2ND CLASS UPPER
232,233,2015/16,F,1990-03-03,OGUN,AWO,PARENT,DE,135,135,0,Yes,Yes,738,5.5,21,2ND CLASS UPPER
233,234,2015/16,M,1989-07-12,OYO,INDEP,PARENT,DE,129,118,0,Yes,Yes,309,2.4,3rd,3RD CLASS
234,235,2015/16,M,1992-04-20,ANAMBRA,BELLO,PARENT,DE,132,132,0,Yes,Yes,924,7.0,1st,FIRST CLASS
235,236,2015/16,M,1990-12-27,OYO,TEDDER,PARENT,DE,132,128,0,Yes,Yes,629,4.8,21,2ND CLASS UPPER
236,237,2015/16,F,1993-04-29,ONDO,AWO,PARENT,DE,135,135,0,Yes,Yes,841,6.2,1st,FIRST CLASS
237,238,2015/16,M,1985-09-01,ONDO,OFF-CAMPUS,PARENT,DE,135,135,0,Yes,Yes,584,4.3,22,2ND CLASS LOWER
238,239,2015/16,F,1993-11-08,OYO,AWO,PARENT,DE,135,135,0,Yes,Yes,846,6.3,1st,FIRST CLASS
239,240,2015/16,M,1990-08-05,OGUN,TEDDER,PARENT,DE,132,132,0,Yes,Yes,692,5.2,21,2ND CLASS UPPER
240,241,2015/16,F,1993-09-11,OSUN,AWO,PARENT,DE,135,135,0,Yes,Yes,840,6.2,1st,FIRST CLASS
241,242,2015/16,M,1994-01-30,EDO,TEDDER,PARENT,DE,132,125,0,Yes,Yes,472,3.6,22,2ND CLASS LOWER
242,243,2015/16,F,1991-10-10,OSUN,AWO,PARENT,DE,135,135,0,Yes,Yes,687,5.1,21,2ND CLASS UPPER
243,244,2015/16,M,1989-07-11,LAGOS,BELLO,PARENT,DE,135,128,0,Yes,Yes,521,3.9,22,2ND CLASS LOWER
244,245,2015/16,M,1995-01-08,OYO,TEDDER,PARENT,DE,132,132,0,Yes,Yes,627,4.8,21,2ND CLASS UPPER
245,246,2015/16,F,1989-10-23,OGUN,OFF-CAMPUS,PARENT,DE,135,128,0,Yes,Yes,464,3.4,22,2ND CLASS LOWER
246,247,2015/16,M,1988-03-23,ONDO,TEDDER,PARENT,DE,132,128,0,Yes,Yes,383,2.9,22,2ND CLASS LOWER
247,248,2015/16,M,1990-05-14,OSUN,TEDDER,PARENT,DE,109,105,0,Yes,No,328,0.0,0,FNG
248,249,2015/16,M,1995-05-26,OSUN,TEDDER,PARENT,DE,135,135,0,Yes,Yes,578,4.3,22,2ND CLASS LOWER
249,250,2015/16,F,1995-10-24,EDO,AWO,PARENT,DE,119,116,0,Yes,No,430,0.0,0,FNG
250,251,2015/16,M,1989-12-03,OYO,TEDDER,PARENT,DE,132,129,0,Yes,Yes,368,2.8,22,2ND CLASS LOWER
251,252,2015/16,M,1996-12-19,OYO,INDP,PARENT,DE,135,131,0,Yes,Yes,569,4.2,22,2ND CLASS LOWER
252,253,2015/16,F,1992-05-18,OYO,AWO,PARENT,DE,135,135,0,Yes,Yes,828,6.1,1st,FIRST CLASS
253,254,2015/16,M,1989-10-30,OYO,OFF-CAMPUS,BROTHER,DE,135,135,0,Yes,Yes,708,5.2,21,2ND CLASS UPPER
254,255,2015/16,M,1990-09-24,OGUN,TEDDER,PARENT,DE,135,123,0,Yes,Yes,381,2.8,22,2ND CLASS LOWER
255,256,2015/16,F,1991-02-19,OYO,AWO,PARENT,DE,135,135,0,Yes,Yes,776,5.7,21,2ND CLASS UPPER
256,257,2015/16,M,1989-12-25,OSUN,BELLO,PARENT,DE,123,90,0,No,No,214,0.0,0,FNG
257,258,2015/16,F,1992-02-21,OYO,AWO,BROTHER,DE,135,135,0,Yes,Yes,566,4.2,22,2ND CLASS LOWER
258,259,2015/16,M,1984-04-24,DELTA,TEDDER,SELF,DE,130,92,0,Yes,No,311,0.0,0,FNG
259,260,2015/16,M,1991-03-19,OYO,TEDDER,PARENT,DE,135,128,0,Yes,Yes,415,3.1,22,2ND CLASS LOWER
260,261,2015/16,F,1990-12-31,OSUN,AWO,PARENT,DE,135,135,0,Yes,Yes,590,4.4,22,2ND CLASS LOWER
261,262,2015/16,F,1992-03-06,LAGOS,OFF-CAMPUS,PARENT,DE,135,135,0,Yes,Yes,577,4.3,22,2ND CLASS LOWER
262,263,2015/16,M,1992-04-11,ONDO,MELLANBY,PARENT,DE,135,135,0,Yes,Yes,602,4.5,22,2ND CLASS UPPER
263,264,2015/16,F,1991-05-31,KOGI,IDIA,PARENT,DE,135,120,0,Yes,Yes,352,2.6,22,2ND CLASS LOWER
264,265,2015/16,M,1991-12-26,OGUN,ZIK,PARENT,DE,135,121,0,Yes,Yes,275,2.0,3rd,3RD CLASS
